Date,Trial,Context,Sequence,Response,Correct,RT
2020-09-04,1,Stripe,A,R,1,0.24
2020-09-04,2,Stripe,A,R,1,0.19
2020-09-04,3,Stripe,A,R,1,0.24
2020-09-04,4,Stripe,B,R,0,0.23
2020-09-04,5,Stripe,A,R,1,0.2
2020-09-04,6,Stripe,A,R,1,0.26
2020-09-04,7,Stripe,A,R,1,0.22
2020-09-04,8,Stripe,A,R,1,0.28
2020-09-04,9,Stripe,B,R,0,1.58
2020-09-04,10,Stripe,A,R,1,0.25
2020-09-04,11,Stripe,B,R,0,0.22
2020-09-04,12,Stripe,B,R,0,2.36
2020-09-04,13,Stripe,B,R,0,0.41
2020-09-04,14,Stripe,B,R,0,0.23
2020-09-04,15,Stripe,B,R,0,0.19
2020-09-04,16,Stripe,B,R,0,0.17
2020-09-04,17,Stripe,A,R,1,0.26
2020-09-04,18,Stripe,A,R,1,0.19
2020-09-04,19,Stripe,B,R,0,0.21
2020-09-04,20,Stripe,A,R,1,0.22
2020-09-04,21,Stripe,B,R,0,0.33
2020-09-04,22,Stripe,A,R,1,0.22
2020-09-04,23,Stripe,B,R,0,0.64
2020-09-04,24,Stripe,A,R,1,0.33
2020-09-04,25,Stripe,A,R,1,0.27
2020-09-04,26,Stripe,A,R,1,0.25
2020-09-04,27,Stripe,A,R,1,0.29
2020-09-04,28,Stripe,A,R,1,0.22
2020-09-04,29,Stripe,B,R,0,0.23
2020-09-04,30,Stripe,B,R,0,0.18
2020-09-04,31,Stripe,B,R,0,0.24
2020-09-04,32,Stripe,A,R,1,0.15
2020-09-04,33,Stripe,B,R,0,0.16
2020-09-04,34,Stripe,A,R,1,0.25
2020-09-04,35,Stripe,A,R,1,0.22
2020-09-04,36,Stripe,A,R,1,0.23
2020-09-04,37,Stripe,A,R,1,0.24
2020-09-04,38,Stripe,B,R,0,0.25
2020-09-04,39,Stripe,A,R,1,0.16
2020-09-04,40,Stripe,A,R,1,0.3
2020-09-04,41,Stripe,B,R,0,0.26
2020-09-04,42,Stripe,A,R,1,0.14
2020-09-04,43,Stripe,A,R,1,0.17
2020-09-04,44,Stripe,A,R,1,0.32
2020-09-04,45,Stripe,A,R,1,0.17
2020-09-04,46,Stripe,A,R,1,0.17
2020-09-04,47,Stripe,B,R,0,0.42
2020-09-04,48,Stripe,A,R,1,0.21
2020-09-04,49,Stripe,B,R,0,0.27
2020-09-04,50,Stripe,B,R,0,0.19
2020-09-04,51,Stripe,A,R,1,0.19
2020-09-04,52,Stripe,B,R,0,0.24
2020-09-04,53,Stripe,A,R,1,0.17
2020-09-04,54,Stripe,B,R,0,0.46
2020-09-04,55,Stripe,B,R,0,0.28
2020-09-04,56,Stripe,B,R,0,0.16
2020-09-04,57,Stripe,B,R,0,0.23
2020-09-04,58,Stripe,B,R,0,0.15
2020-09-04,59,Stripe,B,R,0,0.23
2020-09-04,60,Stripe,B,R,0,1.13
2020-09-04,61,Stripe,B,R,0,0.15
2020-09-04,62,Stripe,A,R,1,0.19
2020-09-04,63,Stripe,A,R,1,0.17
2020-09-04,64,Stripe,B,R,0,1.01
2020-09-04,65,Stripe,B,R,0,0.26
2020-09-04,66,Stripe,A,R,1,0.19
2020-09-04,67,Stripe,B,R,0,0.47
2020-09-04,68,Stripe,B,R,0,0.44
2020-09-04,69,Stripe,A,R,1,0.37
2020-09-04,70,Stripe,B,R,0,0.26
2020-09-04,71,Stripe,B,R,0,0.31
2020-09-04,72,Stripe,B,R,0,0.18
2020-09-04,73,Stripe,B,R,0,0.22
2020-09-04,74,Stripe,B,R,0,0.2
2020-09-04,75,Stripe,A,R,1,0.13
2020-09-04,76,Stripe,A,R,1,0.25
2020-09-04,77,Stripe,B,R,0,0.35
2020-09-04,78,Stripe,B,R,0,0.2
2020-09-04,79,Stripe,A,R,1,0.14
2020-09-04,80,Stripe,A,R,1,0.25
2020-09-07,1,Stripe,B,R,0,0.19
2020-09-07,2,Stripe,A,R,1,0.25
2020-09-07,3,Stripe,B,R,0,3.21
2020-09-07,4,Stripe,B,R,0,0.32
2020-09-07,5,Stripe,A,R,1,0.53
2020-09-07,6,Stripe,B,R,0,0.19
2020-09-07,7,Stripe,A,R,1,0.24
2020-09-07,8,Stripe,A,R,1,0.44
2020-09-07,9,Stripe,B,R,0,0.22
2020-09-07,10,Stripe,B,R,0,0.99
2020-09-07,11,Stripe,A,R,1,0.22
2020-09-07,12,Stripe,B,R,0,0.16
2020-09-07,13,Stripe,B,R,0,0.23
2020-09-07,14,Stripe,B,R,0,0.22
2020-09-07,15,Stripe,B,R,0,0.46
2020-09-07,16,Stripe,A,R,1,0.2
2020-09-07,17,Stripe,A,R,1,0.25
2020-09-07,18,Stripe,A,R,1,0.28
2020-09-07,19,Stripe,B,R,0,0.46
2020-09-07,20,Stripe,A,R,1,0.39
2020-09-07,21,Stripe,B,R,0,0.27
2020-09-07,22,Stripe,B,R,0,0.31
2020-09-07,23,Stripe,A,R,1,0.2
2020-09-07,24,Stripe,B,R,0,0.14
2020-09-07,25,Stripe,B,R,0,0.24
2020-09-07,26,Stripe,B,R,0,0.27
2020-09-07,27,Stripe,A,R,1,0.18
2020-09-07,28,Stripe,A,R,1,0.21
2020-09-07,29,Stripe,A,R,1,0.27
2020-09-07,30,Stripe,B,R,0,1.43
2020-09-07,31,Stripe,A,R,1,0.26
2020-09-07,32,Stripe,B,R,0,0.26
2020-09-07,33,Stripe,A,R,1,0.54
2020-09-07,34,Stripe,A,R,1,0.31
2020-09-07,35,Stripe,A,R,1,0.22
2020-09-07,36,Stripe,A,R,1,0.22
2020-09-07,37,Stripe,B,R,0,1.6
2020-09-07,38,Stripe,B,R,0,0.24
2020-09-07,39,Stripe,B,R,0,0.21
2020-09-07,40,Stripe,A,R,1,0.42
2020-09-07,41,Stripe,B,R,0,0.23
2020-09-07,42,Stripe,A,R,1,0.21
2020-09-07,43,Stripe,A,R,1,0.46
2020-09-07,44,Stripe,A,R,1,0.22
2020-09-07,45,Stripe,A,R,1,0.35
2020-09-07,46,Stripe,B,R,0,1.18
